label,year1958,year1959,year1960,year1961,year1962,year1963,year1964,year1965,year1966,year1967,year1968,year1969,year1970,year1971,year1972,year1973,year1974,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1985,year1986,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,northing,easting
"142500,832500",0,2,0,6,1,0,3,0,2,7,0,0,3,1,1,4,7,5,5,2,1,5,3,4,7,6,4,5,8,2,5,8,9,3,9,2,6,4,4,2,8,8,6,1,3,4,8,9,7,6,7,8,1,9,3,6,9,9,7,832500,142500
"147500,832500",0,2,0,5,1,0,3,1,2,8,0,0,3,1,1,4,7,4,3,2,1,5,4,5,7,6,4,5,8,2,4,7,9,3,8,2,6,4,3,2,8,8,6,1,3,6,9,9,7,6,7,9,0,9,5,7,8,9,6,832500,147500
"132500,827500",1,2,0,3,1,0,3,1,1,8,0,0,3,0,1,5,7,5,5,2,2,6,4,6,7,5,4,6,8,3,7,9,9,4,9,2,6,4,6,3,8,9,5,2,3,2,8,8,7,4,6,7,0,8,1,4,9,9,7,827500,132500
"137500,827500",0,2,0,4,1,0,3,1,1,7,0,0,3,1,1,5,7,6,6,2,2,6,3,5,7,5,4,6,8,2,6,8,9,4,9,3,7,4,5,3,8,9,5,1,3,2,8,8,8,4,6,7,0,9,2,4,9,9,7,827500,137500
"142500,827500",0,2,0,5,1,0,3,0,1,7,0,0,3,1,1,4,7,4,4,2,2,6,3,5,7,5,4,6,8,2,5,8,9,3,9,2,6,4,4,2,8,8,6,1,3,5,9,9,7,6,7,8,1,9,3,6,8,9,7,827500,142500
"147500,827500",0,2,0,5,1,0,3,0,2,7,0,0,3,1,1,4,7,4,3,2,1,7,4,5,7,6,4,5,8,2,4,7,9,3,8,2,6,4,2,3,8,8,6,1,3,5,9,9,8,6,7,9,1,9,5,6,8,9,6,827500,147500
"137500,822500",0,2,0,4,1,0,3,1,1,7,0,0,4,1,1,5,7,5,4,2,1,6,4,6,7,5,3,7,8,2,6,8,9,4,9,2,6,3,4,3,8,8,6,2,3,3,9,9,7,5,6,8,0,9,2,5,8,9,7,822500,137500
"142500,822500",0,2,0,5,2,0,3,1,1,7,0,0,4,0,1,5,7,4,4,2,1,7,4,5,7,5,3,7,8,2,6,8,9,4,9,2,6,3,3,2,8,8,5,1,3,4,9,9,7,6,6,8,1,9,3,6,8,9,6,822500,142500
"147500,822500",0,3,0,5,2,0,3,1,2,7,0,0,4,1,1,4,7,4,3,2,1,7,4,5,7,6,3,6,8,1,5,8,9,4,9,2,6,3,1,2,8,8,5,2,3,5,9,9,7,6,7,8,0,9,4,6,8,9,6,822500,147500
"142500,817500",0,2,0,5,2,0,3,1,1,7,0,0,4,1,1,4,7,4,3,2,1,7,5,6,7,5,3,6,8,2,6,8,9,4,9,2,6,4,3,2,8,8,5,1,3,3,9,9,7,6,7,8,0,9,4,5,8,9,6,817500,142500
"147500,817500",0,3,0,5,3,0,3,1,2,7,0,0,4,1,1,4,7,4,3,2,1,7,4,5,7,6,3,6,8,1,6,8,9,5,9,2,6,4,1,2,8,8,5,2,2,3,9,9,7,6,7,8,0,9,4,5,8,9,6,817500,147500
